SRBI	-8.084745	115.212608
SRPI	-1.875517	136.239959
STKI	0.065624	111.477149
SWI	-0.862801	131.259185
SWJI	-7.734855	111.766822
TBJI	-6.8179	111.8481
TMSI	1.2948	124.92
TNG	-6.171935	106.646919
TPRI	0.91836	104.52629
TRSI	2.0256	98.9594
TSI	3.501179	98.564567
TTSI	-3.045083	119.818969
TWSI	-8.738178	116.882141
UBSI	-3.76108	102.27169
UWJI	-6.419125	110.947341
WBSI	-9.641119	119.391166
WOJI	-7.837153	110.923606
BAKI	-1.19145	136.10702
BJI	-7.33298	109.70958
BSI	5.49642	95.29617
KDI	-3.95743	122.61926
KHK	-8.36404	115.60964
KSI	-3.651	102.59292
LEM	-6.8266	107.61759
MNI	1.44397	124.83998
PCI	-0.90548	119.83665
PPI	-0.45503	100.3968
PTKI	-0.14542	109.40495
SNJI	-7.78081	111.75912
TARAI	3.32712	117.57037
TLE2	-5.69943	132.73952
TPI	-2.75637	107.65342
WAMI	-4.09593	138.95004
WSI	-9.66897	120.29767
BKB	-1.1073183	116.904826
BKNI	0.3264167	101.039638
BNDI	-4.31346	129.54272
CISI	-7.55569	107.81495
FAKI	-2.9192317	132.26503
GENI	-2.59268	140.167757
GSI	1.3036	97.5754
JAGI	-8.4703117	114.152046
LHMI	5.2286083	96.9469333
LUWI	-1.0418067	122.771635
MMRI	-8.635715	122.237605
MNAI	-4.36048	102.95571
PLAI	-8.7006	117.7219
PMBI	-2.90243	104.69925
SANI	-2.0497	125.9881
SAUI	-7.9826	131.2988
SMRI	-7.0490651	110.440768
SOEI	-9.755265	124.267243
TNTI	0.772055	127.366901
TOLI2	1.121398	120.794456
UGM	-7.91248	110.52192
BATI	-10.2065	123.6633
JAY	-2.51447	140.70433
KAPI	-5.0142	119.7517
PSI	2.6952	98.924
SIJI	-0.86912	131.26605
AAII	-3.6871	128.194
GTOI	0.7628	122.87
IGBI	-8.818	115.146
JMBI	-1.6764	103.576
KLSI	-4.6871	104.7317
LBFI	-8.48	119.8921
MMSI	-2.6892	118.909
MWPI	-0.9258	134.0431
TPTI	3.2618	97.1774
YOGI	-7.8166	110.295
MHIT	-8.45	119.889999
MJSI	-3.5503	118.980301
MTNI	-8.636	116.1707
MALT	38.313389	38.427311
TWGB	48.607578	-124.255859
DLV	11.94333	108.486671
SHL	25.5667	91.883301
LSA	29.700001	91.150002
KNRA	-15.67689	128.762695
QIS	-20.55769	139.605194
TOLI	1.1214	120.794403
PDGK	43.327389	79.484894
KMNB	24.46381	118.38839
