20130716  23411490    5.5200    98.0400     10.000   5.2    0.00    0.00   1.68         70
20130717   5472660   -4.9200   103.0500     36.000   3.1    0.00    0.00   0.79         71
20130717  22570950    2.1400    98.0000     49.000   4.2    0.00    0.00   0.37         72
20130718   7194290    5.4400    97.6700     95.000   3.0    0.00    0.00   0.31         73
20130718   7554380    2.4400    97.0200     22.000   3.1    0.00    0.00   0.94         74
20130718  20410320    1.8600    99.3200     14.000   2.6    0.00    0.00   0.32         75
20130719   6362260    2.4100    98.8600    138.000   4.0    0.00    0.00   1.29         76
20130719  19082430    0.2600    99.7600    119.000   2.8    0.00    0.00   0.43         77
20130719  22154630    4.7000    96.6200     11.000   4.2    0.00    0.00   0.36         78
20130720  17504120    0.2800    98.6200     30.000   4.2    0.00    0.00   1.77         79
20130721   8273040    1.0400    93.4100     10.000   4.3    0.00    0.00   1.10         80
20130722   2580680    5.3200    96.7700     10.000   2.8    0.00    0.00   0.54         81
20130722  15261390    0.8900    99.4500     10.000   3.3    0.00    0.00   0.77         82
20130722  16372330   -6.1200   103.8100     10.000   4.6    0.00    0.00   0.99         83
20130722  16442450    4.8100    96.1000     10.000   3.5    0.00    0.00   0.68         84
20130723   5255830   -4.5100   102.5700     29.000   4.3    0.00    0.00   0.43         85
20130723  15451610   -4.7500   102.5900     30.000   4.4    0.00    0.00   1.34         86
20130724   8210990    2.2200    97.5000     10.000   4.0    0.00    0.00   0.78         87
20130724  19230310    2.1200    96.0900     12.000   3.4    0.00    0.00   0.45         88
20130724  21392350   -3.5200   101.5400     54.000   5.1    0.00    0.00   1.22         89
20130726  14362080   -0.4800    99.1200     49.000   4.9    0.00    0.00   0.63         90
20130726  17390060   -6.2200    99.3100     21.000   4.8    0.00    0.00   0.38         91
20130726  21065310   -6.1500   104.1000     10.000   3.5    0.00    0.00   0.50         92
20130727  14390510   -6.3000   105.5100     12.000   3.6    0.00    0.00   0.24         93
20130727  15182460   -6.3300   105.4500     10.000   4.0    0.00    0.00   0.39         94
20130727  18463340   -6.3000   105.4800     10.000   3.8    0.00    0.00   0.74         95
20130728   5002850   -1.3300   100.7200     79.000   3.0    0.00    0.00   0.80         96
20130729   1433920    4.7700    95.1100     12.000   4.6    0.00    0.00   1.37         97
20130729  16204060    3.2300    96.3300     10.000   3.2    0.00    0.00   0.43         98
20130729  23202260   -3.6600   102.0400     95.000   3.8    0.00    0.00   0.66         99
20130731   8262510   -4.6900   102.0200     17.000   3.6    0.00    0.00   0.50        100
20130801  13294520   -2.7700   102.2900    141.000   3.4    0.00    0.00   0.68        101
20130801  18255670    4.7400    96.5900     10.000   2.8    0.00    0.00   0.67        102
20130801  18350930   -3.4000   101.4800     29.000   3.6    0.00    0.00   0.39        103
